month,all_tracks_stock,all_tracks_compact,all_tracks_raw_stock,all_tracks_raw_compact,all_tracks_n_scenes,all_tracks_coverage,stock,compact,raw_stock,raw_compact,n_scenes,coverage,movement,n_pairs,pair_coverage,movement_A-171-ASCENDING,movement_A-18-DESCENDING,movement_A-98-ASCENDING,movement_D-171-ASCENDING,movement_D-18-DESCENDING,movement_D-99-ASCENDING,eopl,bunker,container,arrivals
2024-05-01,8.811881265298076,22.873031623396614,40.0,104.0,4.0,0.8473804351133766,8.757809711665077,26.246547293035192,40.0,120.0,2.0,0.852115853748467,3.3528730869293213,1.0,0.805278801622644,,,3.3528730869293213,,,,78.0,4826.85,3537.81,10717.0
2024-06-01,11.800517591022155,28.92397723308874,53.666666666666664,131.66666666666666,3.0,0.8499578918323222,10.3834566010327,28.418720833836574,47.5,130.0,2.0,0.8539626950198107,2.014416456222534,1.0,0.8517417248722706,,,2.014416456222534,,,,78.66666666666667,4274.91,3353.67,10107.0
2024-07-01,12.603506093716955,28.20159143682729,57.2,128.0,5.0,0.8475941216960583,11.890656904518934,27.804193296802833,54.333333333333336,127.0,3.0,0.8529008896388891,1.700114369392395,2.0,0.8505335537034557,2.0413997173309326,,1.700114369392395,,,,87.0,4653.76,3574.24,10632.0
2024-08-01,11.321378595756968,26.039654447383132,53.42857142857143,123.14285714285714,7.0,0.8876411347711798,9.925178313661473,23.884781121959286,45.5,109.5,2.0,0.8559577689896074,1.947927713394165,1.0,0.8541513463318848,2.9221538305282593,3.225416660308838,1.947927713394165,,,,82.6,4559.46,3606.54,10796.0
2024-09-01,12.401522944717408,29.13065039487446,57.833333333333336,136.33333333333334,6.0,0.8710552879961572,11.018047849627843,28.90814895216468,50.5,132.5,2.0,0.8557286990639124,1.889865517616272,1.0,0.8527752465582104,2.308844208717346,,1.889865517616272,,,,86.25,4383.05,3292.82,10292.0
2024-10-01,12.173275051914779,29.111108124413114,59.125,142.25,8.0,0.9026817563446489,11.752655666266733,29.819369073919265,54.0,137.0,2.0,0.8580544028938607,1.8935165405273438,1.0,0.8535810051558469,,2.533141016960144,1.8935165405273438,,,,99.75,4877.66,3505.21,10724.0
2024-11-01,10.362684175093044,27.442074597509926,49.5,131.66666666666666,6.0,0.8952978372650159,,,,,,,,,,,2.782503366470337,,,,,87.2,4462.22,3340.79,10320.0
2024-12-01,,,,,,,,,,,,,,,,,,,,,,90.75,4790.03,3554.62,10727.0
2025-01-01,,,,,,,,,,,,,,,,,,,,,,96.16666666666669,4487.92,3496.89,10695.0
2025-02-01,13.311876700656608,34.90012747021321,63.57142857142857,166.57142857142858,7.0,0.8918988643343033,11.784710297017222,31.64456017022259,54.0,145.0,3.0,0.855449098092397,1.694413423538208,2.0,0.8546970442885325,2.329463243484497,2.311981439590454,1.694413423538208,,,,92.0,4145.11,3316.59,9660.0
2025-03-01,9.762466607793757,26.951277807659856,46.75,129.375,8.0,0.8974181887121734,9.279212759867178,30.673288820847787,42.5,140.5,2.0,0.8550589449005618,2.018874168395996,1.0,0.8528771798747788,2.6551930904388428,3.433730125427246,2.018874168395996,,,,76.66666666666667,4469.18,3735.8,10662.0
2025-04-01,10.84820604901219,28.19325764790209,52.166666666666664,135.66666666666666,6.0,0.897936995377965,10.012705012998962,28.956794175926618,46.0,133.0,3.0,0.8573397806467214,2.2057913541793823,2.0,0.8500728935228098,,5.302664279937744,2.2057913541793823,,,,78.5,4404.44,3628.14,10558.0
2025-05-01,12.462487710733784,31.646674359995842,58.333333333333336,147.33333333333334,6.0,0.8711139401029128,11.337002111753488,30.952201046896548,52.0,142.0,2.0,0.8565931719986566,2.678816556930542,1.0,0.8532873401247806,2.719300150871277,,2.678816556930542,,,,87.0,4878.139999999999,3829.11,11338.0
2025-06-01,9.937040247982411,24.382120791694096,45.0,110.6,5.0,0.8475912093155851,7.793881184069055,22.506722168722018,35.666666666666664,103.0,3.0,0.854311651718625,2.7805678844451904,2.0,0.8479900747566995,2.2556941509246826,,2.7805678844451904,,,,88.0,4594.7300000000005,3708.91,10841.0
2025-07-01,13.796427741640223,32.48407015568172,62.5,147.25,4.0,0.8465828909222034,12.02706704819077,30.943437183014616,55.0,141.5,2.0,0.8536652028220967,1.8947893381118774,1.0,0.852442003023275,2.16251277923584,,1.8947893381118774,,,,98.33333333333331,4918.04,3866.86,11242.0
2025-08-01,10.416731220394176,29.385186484736185,49.0,138.5,6.0,0.8694380767236765,12.554415106906532,33.18732233027884,57.5,152.0,2.0,0.855056611262362,1.817976713180542,1.0,0.8544914974358917,,2.1082980632781982,1.817976713180542,,,,90.0,4965.259999999999,3864.91,11182.0
2025-09-01,,,,,,,,,,,,,,,,,,,,,,98.0,4765.08,3763.99,10992.0
2025-10-01,13.5555358103679,32.50075102760948,64.0,153.5,8.0,0.8815530660925543,13.43531290170759,36.37042626361347,61.5,166.5,2.0,0.8546628798252871,1.9730561971664429,1.0,0.8515961058486013,,2.5102195739746094,1.9730561971664429,,,,95.6,4817.7300000000005,3828.47,11552.0
2025-11-01,12.233037410040737,30.8849955186275,58.857142857142854,148.71428571428572,7.0,0.9073061571430359,,,,,,,,,,,4.331889867782593,,,,,95.4,4820.68,3705.04,11207.0
2025-12-01,13.539902712544631,35.28549981355086,64.88888888888889,169.44444444444446,9.0,0.8980198447199216,11.869059630355899,29.785239838863983,54.333333333333336,136.33333333333334,3.0,0.8542927959219703,2.728429079055786,2.0,0.8431834334837502,2.4786816835403442,2.234041392803192,2.728429079055786,,,,105.83333333333331,5508.63,3919.0,11892.0
2026-01-01,15.266309911832694,43.11811221848132,73.14285714285714,206.42857142857142,7.0,0.8939492655320491,13.641980270291185,41.86252907607701,62.666666666666664,192.33333333333334,3.0,0.8576633162467456,1.7726396918296814,2.0,0.8556416076862947,2.0932776927948,1.8235223293304443,1.7726396918296814,,,,115.5,5228.070000000001,3892.37,12031.0
2026-02-01,15.418352432897057,40.86307794352548,73.14285714285714,193.0,7.0,0.8894606791431233,13.309897480170976,42.33179140742854,61.0,194.0,2.0,0.8555187649714558,1.7635198831558228,1.0,0.8543292629082396,2.1663691997528076,2.296374559402466,1.7635198831558228,,,,106.75,4678.17,3421.08,10886.0
2026-03-01,13.634849734259337,40.283900923453835,64.2,189.8,5.0,0.8807873807300852,12.59123346408955,38.2858823709417,57.666666666666664,175.33333333333334,3.0,0.8551803874324809,1.9159488677978516,2.0,0.850570985260181,,,1.9159488677978516,,,,102.0,4765.39,3897.28,11591.0
2026-04-01,11.870173209608794,28.9824389702094,55.666666666666664,136.66666666666666,6.0,0.8937126746238128,,,,,,,,,,2.2423696517944336,3.0401716232299805,,,,,,,,
2026-05-01,7.959870645059183,21.157960821536502,35.8,95.2,5.0,0.8414216673266196,6.77999558853437,20.77494577621706,31.0,95.0,2.0,0.8534213843029788,2.699049472808838,1.0,0.8258306865208871,,,2.699049472808838,,,,,,,
2026-06-01,12.31802823224779,32.29614804483116,59.0,155.66666666666666,9.0,0.8959946201445832,,,,,,,,,,2.3504135608673096,2.336512804031372,,,,,,,,
2026-07-01,14.847155129349176,34.039787597177664,70.57142857142857,162.57142857142858,7.0,0.8895820283295143,,,,,,,,,,,,,2.414189100265503,2.2051777839660645,1.7909151315689087,87.0,,,
2026-08-01,14.067627271625224,33.582922641098754,67.28571428571429,161.42857142857142,7.0,0.8915218550818145,,,,,,,,,,,,,2.1569321155548096,1.841346025466919,1.827591598033905,112.0,,,
2026-09-01,,,,,,,,,,,,,,,,,,,,,,86.0,,,
