date,compact_count,physical_count,coverage,ais_daily_anchored_unique
2023-10-01,119.0,54.0,0.8566797033031062,83.0
2023-10-07,128.0,71.0,0.9995577288883688,
2023-10-13,148.0,50.0,0.8508207778930906,82.0
2023-10-18,102.0,38.0,0.8142509870822857,93.0
2023-10-19,108.0,34.0,0.9926884314833556,89.0
2023-10-25,120.0,49.0,0.8524082119421414,61.0
2023-10-30,148.0,71.0,0.8370482053108751,92.0
2023-10-31,105.0,41.0,0.977429238022322,10.0
