month,airfield_pairdiff,airfield_stock_bright,east_cargo_pairdiff,east_cargo_stock_bright,pax_t123_pairdiff,pax_t123_stock_bright,pax_t4_pairdiff,pax_t4_stock_bright,west_cargo_pairdiff,west_cargo_stock_bright,aircraft_total,air_cargo_kt
2024-08,,1209.0,,1554.0,12932008.0,1349.0,,1631.0,4215903.0,1342.0,31180,166479.0
2024-11,,0.0,,0.0,,0.0,,0.0,,0.0,30787,172793.0
2025-01,,1212.0,,1440.0,,1560.0,,,,1374.0,33104,159763.0
2025-02,,1259.0,,1446.0,,1637.0,,1572.0,,1396.0,29238,143108.0
2025-03,,1206.0,,1558.0,,1732.0,,1390.0,,1466.0,31624,177401.0
2025-04,106289048.0,859.5,7698640.0,909.0,15680699.0,1353.0,5490964.0,1004.0,9149308.0,955.5,31031,167499.0
2025-05,,,,,,,,1382.0,,,31672,176032.0
2025-06,,1052.0,,1412.0,,1520.0,,1208.0,,1366.0,30927,172680.0
2025-07,41558724.0,1116.0,1290989.0,1400.0,3500183.0,1530.0,4258012.0,1494.0,1218482.0,1384.0,31281,179512.0
2025-08,,1132.0,,1438.0,,1560.0,,1636.0,,1400.0,30764,177333.0
2025-09,,1198.0,,1454.0,,1552.0,,1488.0,,1378.0,29549,174298.0
2025-10,,1366.0,,1562.0,,1630.0,,1754.0,,1524.0,31213,182196.0
2025-12,,1241.0,,1537.0,,1647.0,,1650.0,,2233.0,32910,184434.0
2026-01,,1444.0,,1614.0,,1736.0,,2216.0,,1376.0,32726,170966.0
2026-02,,1345.5,2178181.0,1550.0,,1572.0,3213853.0,1954.0,2036981.0,1466.0,30223,157684.0
2026-03,,1302.5,,1548.5,,1613.0,,2200.5,,1468.0,32356,188142.0
2026-04,103014944.0,1316.0,,1594.5,,1794.5,,1679.5,2124778.0,1599.0,30875,189052.0
2026-05,,1338.5,3697880.0,1525.0,,1601.0,4946125.0,1853.0,,1495.0,30766,190326.0
2026-06,,1232.0,,1488.0,,1648.0,,1809.0,,1364.0,30741,187290.0
2026-07,,1192.0,,1500.0,,1458.0,,,,1467.0,31498,192596.0
