month,east_cargo,pax_t123,pax_t4,west_cargo
2019-01,0.0849458439819885,0.066471848821352,0.0812630812630812,0.0824242424242424
2019-02,0.0958987465011561,,0.04786604786604783,0.084040404040404
2019-03,0.0843373493975903,0.06121176699785693,0.039130039130039096,0.08390572390572387
2019-04,0.09261287574540586,0.0600818234950321,0.08767858767858766,0.0777441077441077
2019-05,,0.0592830703292421,0.08326508326508325,0.0759595959595959
2019-06,0.0855543385663867,0.07894019092148837,0.07257257257257249,0.0874747474747474
2019-07,0.0826335645612754,,0.08887675554342217,
2019-08,0.1080686381891201,0.0608610948762906,0.0650043983377316,0.08328282828282825
2019-09,0.08713642448582204,0.0676407558932398,0.0499893833227166,0.08188552188552184
2019-10,0.0853109407326274,0.0730956555620494,0.0278460278460278,0.06454545454545449
2019-11,0.0893270049896556,0.0734852912526787,0.0378560378560378,0.08156565656565655
2019-12,0.09650724108555431,0.0649003182024806,0.06166772833439497,0.07912457912457907
2020-01,0.09419496166484113,0.0723163841807909,0.04944338277671606,0.0818181818181818
2020-02,0.0963855421686747,0.071225404247029,0.03333636666969997,0.07905723905723899
2020-03,0.0924911768285262,0.0726280927332943,0.0369460369460369,0.078080808080808
2020-04,0.10064500425946205,0.0897720631209818,0.0572390572390572,0.0829292929292929
2020-05,0.0968114883777534,0.071225404247029,0.0735735735735735,0.08075757575757575
2020-08,0.0971157356699525,0.0653029417494642,,0.0693939393939394
2020-09,0.1190215407082877,,0.05760305760305755,
2020-10,0.07800900571984905,0.0619520748100526,0.0536900536900536,
2020-11,0.0767920165510527,0.0644067796610169,0.0556920556920556,0.0708080808080808
2020-12,,,,0.06621212121212115
2021-01,0.078009005719849,,0.0652470652470652,0.071010101010101
2021-02,,0.0635495811416325,0.0254345254345254,0.07712121212121206
2021-03,0.0767920165510527,0.0723553477498538,0.0143780143780143,0.0825252525252525
2021-04,0.07612267250821461,0.07488797973894402,0.041041041041041,0.0727272727272727
2021-05,0.07618352196665447,0.06321839080459765,0.041526374859708136,0.07023569023569019
2021-06,0.07975335686179054,0.07606987466718611,0.03439803439803437,0.068080808080808
2021-07,0.0710721674577096,0.07140074030781215,0.0375830375830375,0.07722222222222215
2021-08,,,0.0808990808990809,
2021-09,0.08527037442700086,0.07339437625819854,0.0796250796250796,0.08589225589225587
2021-10,,,0.078078078078078,
2021-11,0.0741146403797006,0.0651860510422754,0.0741650741650741,0.0666666666666666
2021-12,0.07168066204210781,0.06629001883239166,0.09227409227409226,0.07026936026936027
2022-01,0.08111232810027985,0.07114747710890315,0.07612157612157605,0.0777777777777777
2022-02,0.0713155652914689,0.0573543736606273,0.098007098007098,0.0805050505050505
2022-03,0.06555514989249923,0.061809208390155135,0.08878575545242207,0.07956228956228954
2022-04,0.064865522696848,0.0824469121371517,0.0989170989170989,0.0773737373737373
2022-05,0.06857733966167695,0.061815702318332305,0.0931385931385931,0.0767676767676767
2022-06,0.0671778021175611,0.0704071692967075,0.11001911001911,0.079090909090909
2022-07,0.0591456736035049,0.0523280732515098,0.101010101010101,0.0734343434343434
2022-08,0.064865522696848,,,
2022-10,0.0806863818912011,0.0657705045782193,0.0808080808080808,0.0614141414141414
2022-11,0.0760618230497748,0.0714202220923436,0.0919100919100919,0.0817171717171717
2022-12,,,0.0987350987350987,
2023-01,,,0.0951860951860951,
2023-02,0.07466228550565895,0.0754139879212935,0.0855097521764188,0.0697979797979798
2023-03,0.0820250699768772,0.0658094681472823,,0.0706060606060606
2023-04,0.081416575392479,0.0730177284239236,0.1041041041041041,0.0728282828282828
2023-05,0.07989533893148346,0.06683550879927264,0.0926077592744259,0.07419191919191914
2023-06,0.07587927467445535,0.0714981492304695,0.09131859131859124,0.0679797979797979
2023-07,0.0786175003042472,0.0692772257938827,0.09009009009009,0.0749494949494949
2023-09,0.0788608981380065,0.07054354178842775,0.09618709618709614,0.0859595959595959
2023-10,0.045353129690479034,0.05679589583739203,0.0936694270027603,0.06555555555555553
2023-11,0.08403310210539125,0.0615234755503604,0.0807170807170807,0.08479797979797976
2023-12,0.0764269198004137,0.0665108123904149,0.0791700791700791,0.0802020202020202
2024-01,,0.1150594194428209,,0.0689898989898989
2024-02,0.0520871364244858,0.06984219754529511,0.1022841022841022,0.07363636363636361
2024-04,0.07472313496409874,,0.08331058331058325,0.0802020202020202
2024-05,0.07204575879274673,0.0832261835184102,0.09327509327509326,0.0729292929292929
2024-06,,,0.1025571025571025,
2024-07,0.0732627479615431,0.08047925189947396,0.07716807716807711,
2024-08,0.0801995862236826,0.06995908825248384,0.08440258440258434,0.0748484848484848
2024-11,0.0,0.0,0.0,0.0
2025-01,0.0777656078860898,0.0827975842587181,,0.0701010101010101
2025-02,0.0743580382134599,0.07574517825832841,0.0849030849030849,0.0618181818181818
2025-03,0.0789825970548862,0.0654977595947788,0.0838110838110838,0.0679797979797979
2025-04,0.07959109163928435,0.07664134034677575,0.09295659295659289,0.0842424242424242
2025-05,,,0.0671580671580671,
2025-06,0.0794693927224047,0.0783947009546074,0.0717080717080717,0.0635353535353535
2025-07,0.0806863818912011,0.08669394116501063,0.08205174871841536,0.0703367003367003
2025-08,0.0810920449474666,0.0775245145788687,0.08099008099008094,0.06999999999999997
2025-09,0.0817816721431179,0.0824079485680888,0.0899080899080899,0.0675757575757575
2025-10,0.0245831812096872,0.0267290083771673,0.0722540722540722,0.0289898989898989
2025-12,0.0830595107703541,0.072530683810637,0.06888706888706886,0.0831818181818181
2026-01,0.0833637580625532,0.0847457627118644,0.0684320684320684,0.0851515151515151
2026-02,0.06798912823009202,0.08437560880576661,0.06360906360906356,0.06612794612794606
2026-03,0.0814774248509188,0.0826612117669978,0.06451906451906445,0.07520202020202015
