month,east_cargo,pax_t123,pax_t4,west_cargo,aircraft_total,air_cargo_kt
2019-01,0.0849458439819885,0.066471848821352,0.0812630812630812,0.0824242424242424,32729,171304.0
2019-02,0.0958987465011561,,0.04786604786604783,0.084040404040404,29894,136504.0
2019-03,0.0843373493975903,0.06121176699785693,0.039130039130039096,0.08390572390572387,32371,184764.0
2019-04,0.09261287574540586,0.0600818234950321,0.08767858767858766,0.0777441077441077,31454,156480.0
2019-05,,0.0592830703292421,0.08326508326508325,0.0759595959595959,31671,171756.0
2019-06,0.0855543385663867,0.07894019092148837,0.07257257257257249,0.0874747474747474,31391,161880.0
2019-07,0.0826335645612754,,0.08887675554342217,,32389,170226.0
2019-08,0.1080686381891201,0.0608610948762906,0.0650043983377316,0.08328282828282825,32364,169032.0
2019-09,0.08713642448582204,0.0676407558932398,0.0499893833227166,0.08188552188552184,31179,170234.0
2019-10,0.0853109407326274,0.0730956555620494,0.0278460278460278,0.06454545454545449,31958,169689.0
2019-11,0.0893270049896556,0.0734852912526787,0.0378560378560378,0.08156565656565655,31598,177532.0
2019-12,0.09650724108555431,0.0649003182024806,0.06166772833439497,0.07912457912457907,33344,174697.0
2020-01,0.09419496166484113,0.0723163841807909,0.04944338277671606,0.0818181818181818,33435,156865.0
2020-02,0.0963855421686747,0.071225404247029,0.03333636666969997,0.07905723905723899,26231,146828.0
2020-03,0.0924911768285262,0.0726280927332943,0.0369460369460369,0.078080808080808,16223,149444.0
2020-04,0.10064500425946205,0.0897720631209818,0.0572390572390572,0.0829292929292929,3865,95838.0
2020-05,0.0968114883777534,0.071225404247029,0.0735735735735735,0.08075757575757575,4472,103122.0
2020-08,0.0971157356699525,0.0653029417494642,,0.0693939393939394,5562,120115.0
2020-09,0.1190215407082877,,0.05760305760305755,,5623,124524.0
2020-10,0.07800900571984905,0.0619520748100526,0.0536900536900536,,5890,129083.0
2020-11,0.0767920165510527,0.0644067796610169,0.0556920556920556,0.0708080808080808,6572,140030.0
2020-12,,,,0.06621212121212115,7525,147676.0
2021-01,0.078009005719849,,0.0652470652470652,0.071010101010101,7495,145957.0
2021-02,,0.0635495811416325,0.0254345254345254,0.07712121212121206,6707,123914.0
2021-03,0.0767920165510527,0.0723553477498538,0.0143780143780143,0.0825252525252525,8103,157387.0
