month,scene,zone,metric,value,cloud
2019-09,S2A_48NUG_20190908_1_L2A,west_cargo,stock_bright,1728.0,0.0
2019-09,S2A_48NUG_20190908_1_L2A,east_cargo,stock_bright,1880.0,0.0
2019-09,S2A_48NUG_20190908_1_L2A,pax_t123,stock_bright,2020.0,0.4175336060783168
2019-09,S2A_48NUG_20190908_1_L2A,pax_t4,stock_bright,2406.0,0.0
2019-09,S2A_48NUG_20190908_1_L2A,airfield,stock_bright,1760.0,0.12186846008493
2019-09,S2A_48NUG_20190908_1_L2A,west_cargo,pairdiff,1113896.0,0.22818181818181818
2019-09,S2A_48NUG_20190908_1_L2A,east_cargo,pairdiff,1044985.0,0.29256419617865403
2019-09,S2A_48NUG_20190908_1_L2A,pax_t123,pairdiff,,0.4175336060783168
2019-09,S2A_48NUG_20190908_1_L2A,pax_t4,pairdiff,1377856.0,0.11284011284011285
2019-09,S2A_48NUG_20190908_1_L2A,airfield,pairdiff,21698924.0,0.1582380071926367
2019-09,S2A_48NUG_20190928_1_L2A,west_cargo,stock_bright,1681.0,0.0
2019-09,S2A_48NUG_20190928_1_L2A,east_cargo,stock_bright,1734.0,0.007058537179019107
2019-09,S2A_48NUG_20190928_1_L2A,pax_t123,stock_bright,2060.0,0.15336060783167738
2019-09,S2A_48NUG_20190928_1_L2A,pax_t4,stock_bright,2718.0,0.0
2019-09,S2A_48NUG_20190928_1_L2A,airfield,stock_bright,1786.0,0.17834284901558406
2019-09,S2A_48NUG_20190928_1_L2A,west_cargo,pairdiff,1173094.0,0.0
2019-09,S2A_48NUG_20190928_1_L2A,east_cargo,pairdiff,1940701.0,0.007058537179019107
2019-09,S2A_48NUG_20190928_1_L2A,pax_t123,pairdiff,,0.4175336060783168
2019-09,S2A_48NUG_20190928_1_L2A,pax_t4,pairdiff,6451150.0,0.0
2019-09,S2A_48NUG_20190928_1_L2A,airfield,pairdiff,112516984.0,0.17834284901558406
2019-10,S2A_48NUG_20191008_0_L2A,west_cargo,stock_bright,6952.0,0.9036363636363637
2019-10,S2A_48NUG_20191008_0_L2A,east_cargo,stock_bright,2110.0,0.4704880126566874
2019-10,S2A_48NUG_20191008_0_L2A,pax_t123,stock_bright,2732.0,0.5398792129359049
2019-10,S2A_48NUG_20191008_0_L2A,pax_t4,stock_bright,2472.0,0.17763217763217765
2019-10,S2A_48NUG_20191008_0_L2A,airfield,stock_bright,2222.0,0.4959871589085072
2019-11,S2A_48NUG_20191117_0_L2A,west_cargo,stock_bright,1610.0,0.2312121212121212
2019-11,S2A_48NUG_20191117_0_L2A,east_cargo,stock_bright,1800.0,0.34319094560058416
2019-11,S2A_48NUG_20191117_0_L2A,pax_t123,stock_bright,1808.0,0.3307227742061173
2019-11,S2A_48NUG_20191117_0_L2A,pax_t4,stock_bright,2712.0,0.06315406315406315
2019-11,S2A_48NUG_20191117_0_L2A,airfield,stock_bright,1500.0,0.1435073247048784
2019-11,S2A_48NUG_20191117_1_L2A,west_cargo,stock_bright,1516.0,0.0
2019-11,S2A_48NUG_20191117_1_L2A,east_cargo,stock_bright,1714.0,0.0
